,Startup name,Active (opinion by CMs),Last edited by,Location,HQ,Founded date,Industry (Vertical),Horizontal,Operating status,Funding status,Employees,Founder 1,Founder 2,Founder 3,Founder 4,Founder 5,Unnamed: 16,Website,Social media URLs,Email,Phone,Funding round 1 (Investment),Founder round 1 investors,Funding round 1 date,Funding round 2 (Investment),Founder round 2 investors,Funding round 2 date,Funding round 3 (Investment),Founder round 3 investors,Funding round 3 date,Funding round 4 (Investment),Founder round 4 investors,Funding round 4 date,Funding round 5 (Investment),Founder round 5 investors,Funding round 5 date
10,Integry,Y,-,Islamabad,Asia-Pacific,2017-06-01 00:00:00,"PaaS, SaaS, Softwares",-,Active,Seed,11 to 50,Muhammad Nasrullah,Yasir Farooqui,-,-,-,,http://integry.io/,"https://www.linkedin.com/company/integryio/, https://www.facebook.com/integryhq, https://www.twitter.com/integryhq",hello@integry.io,‭+1 (650) 276-0597,$500K,Silicon Badia,2018-09-30 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
11,Amplifyd,,-,Lahore,Asia-Pacific,2019-06-20 00:00:00,"Analytics, Information Technology","Social Media Marketing, Brand Marketing",Active,Seed,1 to 10,Adil Sarwar,Murad Hasan,-,-,-,,https://amplifyd.io/,"https://www.linkedin.com/company/amplifydd, https://www.facebook.com/amplifydd",murad@amplifyd.io,-,$70K,-,2019-07-10 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
12,Fotisto,,-,Lahore,Asia-Pacific,2018-03-01 00:00:00,"Artificial Intelligence, CRM, SaaS","Content Creators, Photography",Active,Seed,1 to 10,Haider Tariq Rashid Awan,-,-,-,-,,https://www.fotisto.pk/,"https://www.linkedin.com/company/fotistopk, https://www.facebook.com/pg/fotistopk, https://twitter.com/fotistopk",info@fotisto.pk,92-3314098-783,$15K,-,2019-02-01 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
13,She´Kab,,-,Islamabad,Asia-Pacific,2017-07-31 00:00:00,"Information Technology, Transportation",-,Active,Seed,1 to 10,Hira Rizvi,-,-,-,-,,http://shekab.com/,"https://twitter.com/shekabpk, https://web.facebook.com/Shekabpk/",contact@shekab.com,92-301-8500814,$150K,Katapult Accelerator,2017-07-31 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
14,Consuldents,,-,Islamabad,Asia-Pacific,2020-03-16 00:00:00,"Training, Professional Services",-,Active,Seed,11 to 50,Anum Thanvi,-,-,-,-,,http://www.consuldents.com/,"https://www.linkedin.com/company/consuldents, https://www.facebook.com/consuldentsltd, https://www.twitter.com/consuldentsofcl",-,-,$15K,Khurram Lalani,2016-04-06 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
15,GrocerApp,Y,-,Lahore,Asia-Pacific,2016-01-01 00:00:00,"E-commerce, Food & Beverage, Fashion",-,Active,Seed,11 to 50,Ahmad Saeed,Hassaan Sadiq,-,-,-,,http://www.grocerapp.pk/,"https://www.linkedin.com/company/grocerapp/, https://www.facebook.com/GrocerApp.pk, https://twitter.com/grocerapppk",info@grocerapps.com,92-3111-999-277,Undisclosed,Walled City Co,2019-09-05 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
16,Mauqa Online,Y,-,Islamabad,Asia-Pacific,2017,Customer Service,-,Active,Seed,1 to 10,Muhammad Mustafa,-,-,-,-,,https://www.mauqa.online/,"https://www.linkedin.com/company/mauqa-online/, https://www.facebook.com/Mauqa.Online/",info@mauqa.online,517080309,Undisclosed,"Queno, i2i Ventures, Karavan",2019-08-06 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
17,Dheere Bolo,,-,Islamabad,Asia-Pacific,2014,"Education, Content",-,Active,Seed,-,Nadine Murtaza,-,-,-,-,,http://njshouse.com/,-,-,-,Undisclosed,Invest2Innovate,2014-08-21 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
18,AugmentCare,Y,-,Lahore,Asia-Pacific,2017-09-01 00:00:00,"Health Care, Medical",-,Active,Seed,11 to 50,Hyder Mumtaz,-,-,-,-,,http://www.augmentcare.com/,"https://www.linkedin.com/company/17878457/, https://web.facebook.com/augmentcare/",info@augmentcare.com,-,$1M,"Fazal Din Group, Leonine Tech Ventures",2017-10-27 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
19,ProCheck,,-,Karachi,Asia-Pacific,2019,"Health Care, Information Technology",-,Active,Seed,1 to 10,Saim Siddiqui,-,-,-,-,,https://www.procheck.pk/,"https://www.linkedin.com/company/procheck/, https://www.facebook.com/procheck.pk/",-,-,$250K,"Sarmayacar, Elastica",2017-04-13 00:00:00,$210K,Sarmayacar,2020-02-28 00:00:00,-,-,-,-,-,-,-,-,-
20,Auto Genie,Y,-,Lahore,Asia-Pacific,2014,"Automotive, Online Portals",-,Active,Seed,11 to 50,Abdullah Cheema,Hamza Abbas Bakhsh,-,-,-,,http://www.autogenie.pk/,"https://www.twitter.com/tweetautogenie, https://www.facebook.com/autogeniesocial?_rdr=p",signups@autogenie.pk,3324443643,$100K,-,2015-09-28 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
21,Dawai At Door,,-,"Lahore, Punjab, Pakistan",Asia-Pacific (APAC),2019-10-01 00:00:00,Healthcare,"Mobile Device, Mobile Apps, Personal Health",Active,Seed,10 to 50,Meerab Malik,Muhammad Ali Yousaf,Muhammad Yousaf Iqbal,-,-,,dawaiatdoor.com,dawaiatdoor.com,info@dawaiatdoor.com,923000047478,150000,Muhammad Yousaf Iqbal,18-06-20,,,,,,,,,,,,
22,Airlift Technologies,Y,-,"Lahore, Punjab, Pakistan",Asia-Pacific (APAC),2018,Transportation,Mobile App,Active,Early Stage Venture,1 to 10,Usman Gul,Ahmed Ayub,-,-,-,,rideairlift.com,https://www.facebook.com/RideAirlift/,support@rideairlift.com,923111222806,2200000,"Fatima Ventures, Indus Valley Capital, Fatima Gobi Ventures, Adil Ajmal",2019-06-08 00:00:00,12000000,"Indus Valley Capital, First Round Capital, Fatima Ventures, Curtis Lee",2019-02-11 00:00:00,10000000,"TrueSight Ventures,Shorooq Partners, RT Ventures, Quiet Capital, Indus Valley Capital, First Round Capital, Fatima Gobi Venture, ACE Capital",30-06-20,,,,,,
23,PublishEX (SimPaisa),,-,"Karachi, Sindh, Pakistan",Asia-Pacific (APAC),2016,Carrier Billing,"Information Services, Information Technology",Active,Seed,11 to 50,Salim Karim,Yassir Pasha,-,-,-,,www.simpaisa.com/,https://www.facebook.com/Publishex/,info@publishexsolutions.com,,,Planet N group of companies,2016-05-03 00:00:00,225000,Sarmayacar,16-02-18,,,,,,,,,
24,Bykea,Y,-,"Karachi, Sindh, Pakistan",Asia-Pacific (APAC),15-09-16,Transportation,"Ride sharing, Courier service, local shopping",Active,Early Stage Venture,101 to 250,Muneeb Maayr,-,-,-,-,,www.bykea.com,https://www.facebook.com/bykea,info@bykea.com,922138654444,57000000,"Sarmayacar,Middle East Venture Partners (MEVP)",29-04-19,,,,,,,,,,,,
25,SystematicBytes,,-,"Lahore, Punjab, Pakistan",Asia-Pacific (APAC),2010,IT Services,"E-commerce,CRM,Enterprise software, ios, web development, software",Active,Seed,1 to 10,Nauman Qazi,-,-,-,-,,systematicbytes.com,https://twitter.com/systematicbytes,nauman.qazi@systematicbytes.com,923225757347,10000,,2010-01-01 00:00:00,,,,,,,,,,,,
26,Bazaar Technologies,,-,"Karachi, Sindh, Pakistan",Asia-Pacific (APAC),2020-01-05 00:00:00,Retail,"B2B,E-commerce",Active,Pre-seed,11 to 50,Hamza Jawaid,Saad Jangda,-,-,-,,www.bazaar-tech.com,https://www.linkedin.com/company/bazaartechnologies/,hello@bazaar-tech.com,,1300000,"Indus Valley Capital, Alter Global",2020-01-06 00:00:00,,,,,,,,,,,,
27,Daftarkhwan,Y,-,"Lahore, Punjab, Pakistan",Asia-Pacific (APAC),26-09-16,Workspace,Co-working,Active,Seed,11 to 50,Ahmad Habib,Saad Idrees,-,-,-,,www.daftarkhwan.com,https://www.facebook.com/daftarkhwan/,hello@daftarkhwan.com,924238938008,,Walled City Co,2018-12-06 00:00:00,,,,,,,,,,,,
28,Dot & Line,,-,"Pakistan Kili, North-West Frontier, Pakistan",Asia-Pacific (APAC),2012,Education,Internet,Active,Seed,11 to 50,Lina Ahmed,Maheen adamjee,-,-,-,,dotandlinelearning.com,https://www.facebook.com/dotandlineclub/,info@thedotandtheline.org,800-640-8007,,Spring Accelerator,2016-06-08 00:00:00,,Sarmayacar,22-06-19,,,,,,,,,
29,Appography,,-,"Lahore, Punjab, Pakistan",Asia-Pacific (APAC),2013,Technology,Mobile App,Active,Seed,,,-,-,-,-,,theappography.com,https://www.facebook.com/Appography/,,92 42 35880062,,,,,,,,,,,,,,,
30,Meru Car Services,,-,"Lahore, Punjab, Pakistan",Asia-Pacific (APAC),2019-04-10 00:00:00,Cleaning Services,"Mobile App, Information Technology",Active,Pre-seed,11 to 50,Meerab Malik,Muhammad Ali Yousaf,Muhammad Yousaf Iqbal,-,-,,merucarservices.com,https://www.linkedin.com/company/meru-car-services/,merucarservices@gmail.com,923114202536,,,29-06-20,,,,,,,,,,,,
31,ImaGyn Technologies,,-,"Karachi, Sindh, Pakistan",Asia-Pacific (APAC),2012-01-01 00:00:00,Management,"Information Technology, Database",Active,Seed,11 to 50,,-,-,-,-,,imagyntechnologies.com,,waqar@imagyntechnologies.com,923002217008,,,,,,,,,,,,,,,
32,SadaPay,Y,-,"Islamabad, Islamabad, Pakistan",Asia-Pacific (APAC),28-08-18,Fintech,"Banking, Financial services",Active,Seed,11 to 50,Brandon Tminsky,-,-,-,-,,sadapay.pk,https://www.facebook.com/sadapaypk/,info@sadapay.pk,,,,,,,,,,,,,,,,
33,beSpider,,-,"Gujrat, Punjab, Pakistan",Asia-Pacific (APAC),2012,IT Services,"Web development, Mobile App",Active,Seed,1 to 10,Zagham Naseem,-,-,-,-,,bespider.com,https://twitter.com/be_spider,,,10000,,2012-08-02 00:00:00,,,,,,,,,,,,
34,Orbit-Ed,,-,"Islamabad, Islamabad, Pakistan",Asia-Pacific (APAC),,Education,"App, Online",Active,Seed,,Navera Waheed,Wajiha Habib,-,-,-,,www.orbit-ed.com,https://www.facebook.com/cygnusorbit/,info@cygnussolution.com,,,"Startupbootcamp, Startupbootcamp Commerce Amsterdam",2018-01-01 00:00:00,,,,,,,,,,,,
35,Snapthat,,-,"Islamabad, Islamabad, Pakistan",Asia-Pacific (APAC),2019-07-01 00:00:00,Technology,Artificial Intelligence,Active,Angel,1 to 10,Muhammad Haris Bin Naeem,Muhammad Harris,-,-,-,,www.snapthat.ai,https://www.linkedin.com/company/snapthat/,haris@snapthat.ai,,20000,,22-12-19,,,,,,,,,,,,
36,Affordable.pk,,-,"Lahore, Punjab, Pakistan",Asia-Pacific (APAC),2014,Retail,E-commerce,Active,Seed,1 to 10,Wajiha Ghazal,-,-,-,-,,www.affordable.pk,https://www.facebook.com/Affordablepkofficial/,Contact@affordable.pk,,100000,CresVenture,22-03-17,,,,,,,,,,,,
37,CarFirst,Y,-,"Lahore, Punjab, Pakistan",Asia-Pacific (APAC),2016,Retail,"Automotive, Classified",Active,Early Stage Venture,101 to 250,Raja Murad Khan,-,-,-,-,,www.carfirst.com,https://www.facebook.com/pg/carfirstpk/about/?ref=page_internal,info@carfirst.com,923041111227,89000000,Frontier Car Group,06/31/2018,,,,,,,,,,,,
38,Well.pk,,-,"Pakistan Kili, North-West Frontier, Pakistan",Asia-Pacific (APAC),2014,Retail,E-commerce,Active,Seed,11 to 50,Furquan Kidwai,-,-,-,-,,www.well.pk,https://www.facebook.com/Wellpkshop/,info@well.pk,9221111329224,1000000,Nadeem Hussain,2016-02-07 00:00:00,,,,,,,,,,,,
39,CertCars.com,,-,"Karachi, Sindh, Pakistan",Asia-Pacific (APAC),2017,Retail,"Automotive, Classified",Active,Seed,1 to 10,Fahad Hassan,Shayaan Tahir,-,-,-,,certcars.com,https://www.facebook.com/certcars/,,,50000,"Shayaan Tahir, Homeshopping.pk",30-05-17,,,,,,,,,,,,
40,Phone bech dou,,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2018-07-01 00:00:00,Mobile,Mobile devices,Active,Seed,1 to 10,Mikhail alam,-,-,-,-,,https://www.phonebechdou.com/,https://www.facebook.com/phonebechdou/?ref=bookmarks,info@phonebechdou.com,0308-0014624,PKR 1M,,2018-07-01 00:00:00,,,,,,,,,,,,
41,InstaCare,Y,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2018-02-08 00:00:00,Health Care,SaaS,Active,Seed,11 to 50,Bilal Amjad,-,-,-,-,,instacare.pk,https://www.facebook.com/instacare.pk,business@insta-care.net,0335-4832273,140000,,2020-01-16 00:00:00,,,,,,,,,,,,
42,Entertainer Asia - Vouch365,,-,"Karachi, Sindh, Pakistan",Asia-Pacific,2015-03-29 00:00:00,"Beauty, Fitness",Retail,Active,Seed,11 to 50,Faizan Lakhani,-,-,-,-,,https://www.entertainerasia.com/,https://www.facebook.com/EntertainerAsia/?_rdc=1&_rdr,info@entertainerasia.com,0320-0228806,500000,,2015-03-29 00:00:00,500000,,2016-02-10 00:00:00,,,,,,,,,
43,Find my Doctor,Y,-,"Karachi, Sindh, Pakistan",Asia-Pacific,2015-07-08 00:00:00,Health Care,Wellness,Active,Seed,11 to 50,Saad Siddiqui,-,-,-,-,,http://www.findmydoctor.pk/,https://twitter.com/findmydoctorpak,info@findmydoctor.pk,021-35303247,200000,,2017-09-11 00:00:00,,,,,,,,,,,,
44,Roamer,,-,"Islamabad, Pakistan",Asia-Pacific,2017-12-01 00:00:00,Car Sharing,Information Technology,Active,Seed,11 to 50,Ali Moeen Malik,Mohammad Hadi,-,-,-,,Roamer.pk,https://www.facebook.com/roamerPakistan,info@roamer.pk,051-8350442,-,,2020-01-08 00:00:00,,,,,,,,,,,,
45,FindMyAdventure,Y,-,"Karachi, Sindh, Pakistan",Asia-Pacific,2016-08-01 00:00:00,Adventure Travel,E- commerce,Active,Seed,11 to 50,Muhammad Komail Abbas,-,-,-,-,,http://www.findmyadventure.pk/,https://www.facebook.com/findmyadventure,team@findmyadventure.pk,0333-0596362,-,,2019-03-13 00:00:00,,,,,,,,,,,,
46,AzaadHealth,,-,"Karachi, Sindh, Pakistan",Asia-Pacific,2016-08-01 00:00:00,Medical,Big Data,Active,Seed,1 to 10,Inam Haq,Rehan uddin,Syed Abrar,-,-,,https://www.azaadhealth.com/,https://www.facebook.com/AzaadHealth,abrar@azaadhealth.com,0345-2209627,,,2018-03-30 00:00:00,,,,,,,,,,,,
47,tocal,,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2018-02-01 00:00:00,Local Advertising,Internet,Active,Seed,1 to 10,-,-,,-,-,,http://tocal.co/,https://www.facebook.com/tocalapp,hey@tocal.co,,-,,2018-02-01 00:00:00,,,,,,,,,,,,
48,Journal Post INC.,Y,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2017-01-04 00:00:00,News,E- commerce,Active,Angel,11 to 50,Anam Mukhtar,Bilal Nasir,Hafsah Haq,-,-,,https://www.journalpost.com/,https://twitter.com/thejournalpost,contact@journalpost.com,0300-4023700,100000,Muhammad Umar Siddque,2017-10-20 00:00:00,,,,,,,,,,,,
49,Sehat Kahani,Y,-,"Karachi, Sindh, Pakistan",Asia-Pacific,2017-03-01 00:00:00,Health Care,E- commerce,Active,Seed,11 to 50,Iffat Zafar,Sara Khurram,-,-,-,,http://sehatkahani.com/,https://www.facebook.com/SehatKahaniOfficial/,info.sehatkahani@gmail.com,021- 35243259,-,-,2017-06-29 00:00:00,"$500, 000","Elahi group of Companies, GSMA Ecosystem Accelerator",2018-03-20 00:00:00,,,,,,,,,
50,Sastaticket.pk,Y,-,"Karachi, Sindh, Pakistan",Asia-Pacific,2016-01-01 00:00:00,Travel Agency,E- commerce,Active,Early Stage Venture,11 to 50,Bilal Mekhri,Shazil Mekhri,-,-,-,,https://www.sastaticket.pk/,https://www.facebook.com/sastaticket.pk,https://twitter.com/sastaticketpk,021-111 172 782,1500000,Gobi Partners,2018-11-10 00:00:00,,,,,,,,,,,,
51,Bookme.pk,Y,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2014-03-16 00:00:00,Ticketing,E- commerce,Active,Seed,11 to 50,Faizan Aslam,-,-,-,-,,https://bookme.pk/,https://www.facebook.com/bookmepk,contact@bookme.pk,0313-7786888,120000,,2015-06-02 00:00:00,"$425, 000",Lakson Investments Venture Capital,2019-04-20 00:00:00,,,,,,,,,
52,Techlets Pvt. Ltd.,,-,"Islamabad, Pakistan",Asia-Pacific,2015-01-01 00:00:00,Artificial Intelligence,Information Technology,Active,Grant,1 to 10,Muhammad Ahsan Tahir,Samina Seth,-,-,-,,https://techletspk.com/,https://www.linkedin.com/company/techlets/,ahsan.tahir@techletspk.com,0346-5346326,190000,,2017-08-01 00:00:00,50000,United States Agency for International Development,2019-07-01 00:00:00,100000,Bill and Melinda Gates foundation,2020-01-15 00:00:00,,,,,,
53,EcoEnergy,,-,"Karachi, Sindh, Pakistan",Asia-Pacific,2010-01-01 00:00:00,Energy,Social entrepreneurship,Active,Seed,11 to 50,Jeremy Higgs,Shazia Khan,-,-,-,,http://ecoenergyfinance.org/,https://www.facebook.com/EcoEnergyPK/,skhan@ecoenergyfinance.org,202-262-0412,500000,Trine,2018-10-05 00:00:00,,,,,,,,,,,,
54,Beauty Hooked,,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2015-01-01 00:00:00,Beauty,E- commerce,Active,Seed,11 to 50,Abdullah Ahmed,Sahr Said,Sidra Talha,-,-,,http://beautyhooked.com/,https://www.facebook.com/beautyhooked,https://twitter.com/beautyhooked,,280000,Fatima Ventures,2016-08-17 00:00:00,,,,,,,,,,,,
55,Screen-IT,Y,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2019-01-01 00:00:00,Advertising,Marketing,Active,Seed,1 to 10,Hamza Malik,-,-,-,-,,https://www.goscreenit.com/,https://twitter.com/screenit4,contactscreenit@gmail.com,0336-4979776,250000,Coeus Solutions,2020-01-08 00:00:00,,,,,,,,,,,,
56,UpSkill,,-,"Islamabad, Pakistan",Asia-Pacific,2015-09-04 00:00:00,E-learning,Education,Active,Seed,1 to 10,Abdul Basit,Aly Abbas Dilawar,Zeshan Jahangir,-,-,,https://www.upskill.pk/,https://twitter.com/upskillofficial,aliabbass@upskill.pk,0344-8871544,1400000,,2016-04-13 00:00:00,,,,,,,,,,,,
57,Charcoal + Gravel,,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2017-12-15 00:00:00,Entertainment,Information Technology,Active,Pre-Seed,1 to 10,Shameel Mazhar,-,-,-,-,,https://www.charcoalgravel.com/,https://www.facebook.com/charcoalgravel/,hello@charcoalgravel.com,,70000,Humayun Mazhar,2017-12-15 00:00:00,,,,,,,,,,,,
58,Elite Maker,,-,"Islamabad, Pakistan",Asia-Pacific,2019-10-27 00:00:00,Clothing,Information Technology,Active,Pre-Seed,11 to 50,Hamza Tariq,Haris Imtiaz,-,-,-,,https://www.elitemaker.pk/,https://www.facebook.com/elitemakerr,cto@elitemaker.pk,0317-5983932,3000,,2019-12-17 00:00:00,,,,,,,,,,,,
59,sabzi.pk,,-,"Lahore, Punjab,Pakistan",Asia-Pacific,2015-01-01 00:00:00,Food,E- commerce,Active,Seed,1 to 10,Farooq Haider,Mafooq Ahmad,-,-,-,,http://sabzi.pk/,https://www.facebook.com/sabzi.pk/,,0304-1115111,,,2016-07-18 00:00:00,,,,,,,,,,,,
60,MTA Games Lab,,-,"Karachi, Sindh, Pakistan",Asia-Pacific,2014-01-01 00:00:00,E-gaming,E- commerce,Active,Angel,-,Muhammad Taha Alam,-,-,-,-,,http://www.mtagameslab.com/,https://www.facebook.com/mtagameslab,,,5500,Kamran Yousuf,2014-02-03 00:00:00,,,,,,,,,,,,
61,oladoc.com,Y,-,"Lahore,",Asia-Pacific (APAC),2016-02-10 00:00:00,"Fitness, Wellness",,Active,Seed,51-100,Abid ZuberiArif Zuberi,-,-,-,-,,oladoc.com/,"https://www.facebook.com/oladoctor https://www.linkedin.com/company/oladoc/ , https://www.linkedin.com/company/oladoc/",,,$100K,Virtual Force Inc.,2016-06-01 00:00:00,$1.1M,Glowfish Capital,2018-02-21 00:00:00,,,,,,,,,
62,Telemart,,-,"Karachi,",Asia-Pacific (APAC),2014,E-commerce,,Active,Seed,51-100,Hamza Abdul Rauf Essa,Ahmed Rauf Essa,-,-,-,,www.telemart.pk,,info@telemart.pk,9221111662453,$800K,,2014-02-05 00:00:00,,,,,,,,,,,,
63,Nearpeer.org,Y,-,"Lahore,",Asia-Pacific (APAC),2015-09-10 00:00:00,,,Active,Seed,1 to 10,Ammar Ali Ayub,"Muhammad Hassan Raza,",Shahrukh Swati,-,-,,www.nearpeer.org,,contact@nearpeer.org,923459615004,$100K,,2015-10-25 00:00:00,,,,,,,,,,,,
64,Healthcare Matrix,,-,"Karachi,",Asia-Pacific (APAC),2016,,,Active,Seed,1 to 10,"Juwairiah Zia,","Samreen Hussain,",Talha Tariq,-,-,,healthcare-matrix.com/,,info@healthcare-matrix.com,,,,2016-05-11 00:00:00,$2.2K,,2018-12-16 00:00:00,$1.3K,,,,,,,,
65,devContact,,-,"Lahore,",Asia-Pacific (APAC),2014-10-01 00:00:00,,,Active,Seed,,-,-,-,-,-,,www.devcontact.com,,,401-555-1395,$100K,,2014-11-17 00:00:00,,,,,,,,,,,,
66,24seven.pk,,-,"Lahore,",Asia-Pacific (APAC),2013-08-15 00:00:00,E-commerce,,Active,Seed,11 to 50,Nabil Shahzad,Jarrar Shah,-,-,-,,24seven.pk,,jarrar.shah@gmail.com,923008000000,$500K,Jarrar Shah,2018-12-15 00:00:00,,,,,,,,,,,,
67,PriceOye,Y,-,Islamabad,Asia-Pacific (APAC),2015,,,Active,Seed,18568,Adeel Shaffi,Adnan Shaffi,Awais Imran,-,-,,priceoye.pk/,,adnan@priceoye.pk,,$450K,Fatima Ventures,2019-11-02 00:00:00,,,,,,,,,,,,
68,AdBira Network,,-,Faisalabad,Asia-Pacific (APAC),2012-08-14 00:00:00,Advertising,,Active,Late Stage Venture,51-100,-,-,-,-,-,,Adbira.com,,support@adbira.com,#ERROR!,,,2013-02-05 00:00:00,$1.3M,,2013-11-15 00:00:00,,,,,,,,,
69,Technifai,,-,"Karachi,",Asia-Pacific (APAC),2018,E-commerce,,Active,Seed,-,-,-,-,-,-,,technifai.com/,,,,,"Danish Elahi, Jonas Eichhorst",2019-04-10 00:00:00,,,,,,,,,,,,
